started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2026-03-01 04:42:21.271000+00:00,2026-03-01 04:49:50.083000+00:00,448,468,Skillebekk,langs Drammensveien,59.912793405455375,10.710103028570302,2329,Via Vika,mellom bygningene ved Via Vika,59.91271286014364,10.727170827087008
2026-03-01 05:30:51.029000+00:00,2026-03-01 05:34:16.108000+00:00,205,526,Lille Grensen,Ved Akersgata,59.9138973,10.7423101,437,Sentrum Scene,ved Arbeidersamfunnets plass,59.91546786564256,10.751140873016311
2026-03-01 05:51:52.431000+00:00,2026-03-01 05:59:00.547000+00:00,428,444,AHO,langs Maridalsveien,59.925265,10.750462,2328,The Hub,mellom Oslo City og The Hub hotel,59.912471643428546,10.750847496059066
2026-03-01 05:54:58.405000+00:00,2026-03-01 06:00:25.104000+00:00,326,437,Sentrum Scene,ved Arbeidersamfunnets plass,59.91546786564256,10.751140873016311,615,Munkedamsveien,ved Haakon VIIs gate,59.9135227,10.7301061
2026-03-01 06:09:11.880000+00:00,2026-03-01 06:23:02.280000+00:00,830,2328,The Hub,mellom Oslo City og The Hub hotel,59.912471643428546,10.750847496059066,487,Carl Berners plass nord,ved Hasleveien,59.926929,10.776971
2026-03-01 06:12:23.263000+00:00,2026-03-01 06:17:05.567000+00:00,282,564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388,449,Ruseløkkgården,langs Løkkeveien,59.91357497092093,10.726229742333288
2026-03-01 06:54:09.809000+00:00,2026-03-01 06:58:21.828000+00:00,252,457,Trondheimsveien,ved trikkestoppet,59.9230577,10.7717192,495,Vaterlandsparken,langs Brugata,59.91351552854147,10.757334670552268
2026-03-01 06:55:44.959000+00:00,2026-03-01 07:01:56.788000+00:00,371,615,Munkedamsveien,ved Haakon VIIs gate,59.9135227,10.7301061,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095
2026-03-01 07:27:24.075000+00:00,2026-03-01 07:37:23.805000+00:00,599,2329,Via Vika,mellom bygningene ved Via Vika,59.91271286014364,10.727170827087008,426,Gimle Kino,ved Frogner Kirke,59.91728078292675,10.708375798767435
2026-03-01 07:30:41.193000+00:00,2026-03-01 07:38:25.263000+00:00,464,401,Lille Schous plass,lengst vekk fra rundkjøring,59.920259,10.760629,2333,Akerselvallmenningen,øst for Operaen,59.90725889890288,10.754884663589621
2026-03-01 07:38:32.642000+00:00,2026-03-01 07:44:03.396000+00:00,330,408,Tøyen skole,forsiden av skolebygget,59.914943,10.773977,463,Schous plass trikkestopp,ved biblioteket,59.9207284,10.7594857
2026-03-01 07:39:38.353000+00:00,2026-03-01 07:43:46.804000+00:00,248,583,Galgeberg,langs St. Halvards gate,59.90707579234818,10.779164402446728,2315,Rostockgata,utenfor FÆBRIK,59.90691970255054,10.760311802881915
2026-03-01 07:50:04.078000+00:00,2026-03-01 07:57:47.016000+00:00,462,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939,2333,Akerselvallmenningen,øst for Operaen,59.90725889890288,10.754884663589621
2026-03-01 07:57:33.311000+00:00,2026-03-01 08:02:43.853000+00:00,310,464,Sukkerbiten,ved gangbroen,59.9051667124711,10.753782728070433,571,Over Rådhusgata,langs Nedre Slottsgate,59.9101207,10.7407129
2026-03-01 08:23:50.334000+00:00,2026-03-01 08:42:35.337000+00:00,1125,548,Colbjørnsens gate,ved Skovveien,59.91731888534716,10.716909039918278,485,Sommerfrydhagen,langs Jens Bjelkes gate,59.911453,10.776072
2026-03-01 08:35:17.790000+00:00,2026-03-01 08:42:10.452000+00:00,412,460,Botanisk Hage sør,ved Jens Bjelkes gate,59.915417698024385,10.76933022142641,424,Birkelunden,langs Seilduksgata,59.9256113,10.760926
2026-03-01 08:38:32.065000+00:00,2026-03-01 08:47:09.130000+00:00,517,600,Dyvekes bru,ved skatepark,59.905323,10.7689579,507,Jens Bjelkes Gate,ved Trondheimsveien,59.91914743024347,10.76412958416006
2026-03-01 08:39:40.816000+00:00,2026-03-01 08:46:46.418000+00:00,425,735,Oslo Hospital,ved trikkestoppet,59.90321254732584,10.7673442932541,599,Paléhaven,langs Strandgata,59.910319910943485,10.749992946324426
2026-03-01 08:51:57.385000+00:00,2026-03-01 09:26:44.388000+00:00,2087,2333,Akerselvallmenningen,øst for Operaen,59.90725889890288,10.754884663589621,2357,Aker Brygge 2 mot Rådhusplassen,ved plattform H i retning rådhuset,59.91113081194453,10.730409170393784
2026-03-01 09:09:29.810000+00:00,2026-03-01 09:16:22.169000+00:00,412,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627,563,Huitfeldts gate,ved Observatoriegata,59.9126844,10.7229003
2026-03-01 09:09:41.778000+00:00,2026-03-01 09:15:25.525000+00:00,343,735,Oslo Hospital,ved trikkestoppet,59.90321254732584,10.7673442932541,478,Jernbanetorget,Europarådets plass,59.91188166348664,10.749962544694341
2026-03-01 09:17:41.215000+00:00,2026-03-01 09:23:42+00:00,360,599,Paléhaven,langs Strandgata,59.910319910943485,10.749992946324426,2358,Aker Brygge 3 mot Fergene,ved bryggen,59.91084649016395,10.729732454567795
2026-03-01 09:19:14.213000+00:00,2026-03-01 10:19:41.242000+00:00,3627,436,Vestkanttorvet,langs Tidemands gate,59.9244031,10.7130691,512,Ensjø T-bane,langs Ensjøveien,59.9131891,10.7897605
2026-03-01 09:31:04.329000+00:00,2026-03-01 09:34:50.584000+00:00,226,463,Schous plass trikkestopp,ved biblioteket,59.9207284,10.7594857,2328,The Hub,mellom Oslo City og The Hub hotel,59.912471643428546,10.750847496059066
2026-03-01 09:33:09.775000+00:00,2026-03-01 09:39:20.544000+00:00,370,450,Elisenberg,ved holdeplassen,59.919524,10.70884,459,Valkyrieplassen,ved Bogstadveien,59.9281319,10.71842
